Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch
810705,6,-0.355700140603,-0.354416374852,-0.356485641486,-0.254328701308,2.742345949487,1.2566077885,-0.084027621588,-1.105781659193,0.930929422317,0.394808877865,-0.974025145441,-0.784891698772,-0.753618303621,-0.344942849396,0.826350474398,0.653305148345,0.163857108424,O23,1/2,+,1,-107.6700211,O23,1/2,+,1,-107.6700211,7.49889459,0.3905251610063404,-0.0535948052919244,2.9025180164323556
810705,8,-0.355700140603,-0.354416374852,-0.356485641486,-0.254328701308,2.742345949487,1.2566077885,-0.084027621588,-1.105781659193,0.930929422317,0.394808877865,-0.974025145441,-0.784891698772,-0.753618303621,-0.344942849396,0.826350474398,0.653305148345,0.163857108424,O23,1/2,+,1,-124.8887778,O23,1/2,+,1,-124.8887778,7.25220065,0.4178499938822226,-0.0567472051164833,2.8639290020469677
812256,10,-0.324888400368,-0.333697171582,-0.330986740555,-0.244183592907,2.435655306117,0.80347829818,0.079041024811,-1.075269349822,0.757683432007,0.46886816645,-0.719499872698,-0.757477961167,-0.288585371385,-0.954865527706,1.113261440563,2.902573355236,0.633933545762,O23,1/2,+,1,-150.947249,O23,1/2,+,1,-150.947249,6.93275651,0.4704985656257847,-0.0584707487883007,2.8166594073187983
812939,4,-0.341316040316,-0.345311258294,-0.344522139467,-0.255170884745,2.679184183815,0.521758144457,-0.003000689428,-1.170662985397,0.861896475996,0.55096257639,-0.795430948036,-0.73511156325,-0.427712217796,-0.748028312543,0.939614327346,1.513829785404,0.414520861943,O23,1/2,+,1,-112.8855424,O23,1/2,+,1,-112.8855424,7.1837085,0.4235393368577334,-0.0617816072707304,2.8520610301301415
812939,6,-0.341316040316,-0.345311258294,-0.344522139467,-0.255170884745,2.679184183815,0.521758144457,-0.003000689428,-1.170662985397,0.861896475996,0.55096257639,-0.795430948036,-0.73511156325,-0.427712217796,-0.748028312543,0.939614327346,1.513829785404,0.414520861943,O23,1/2,+,1,-142.410723,O23,1/2,+,1,-142.410723,6.79599166,0.4290870926138538,-0.0494170423513636,2.786475838808313
812939,8,-0.341316040316,-0.345311258294,-0.344522139467,-0.255170884745,2.679184183815,0.521758144457,-0.003000689428,-1.170662985397,0.861896475996,0.55096257639,-0.795430948036,-0.73511156325,-0.427712217796,-0.748028312543,0.939614327346,1.513829785404,0.414520861943,O23,1/2,+,1,-157.723434,O23,1/2,+,1,-157.723434,6.59862834,0.441738412970897,-0.0522616978144291,2.7526152918917797
813018,10,-0.349136353893,-0.347827395945,-0.350921621515,-0.262250358296,2.688124248631,0.373394431734,0.005994464672,-1.0768420104,0.931619300155,0.612044483704,-0.875818296786,-0.725810692238,-0.529590576512,-0.595124009541,1.003493904135,1.382238547148,0.199163125996,O23,1/2,+,1,-160.6268,O23,1/2,+,1,-160.6268,6.51966481,0.4346119089530598,-0.0510885067287588,2.737147073546524
813880,10,-0.321102459783,-0.318434607591,-0.319130201566,-0.236410505664,2.188738524271,0.561822198991,0.116027704495,-0.887759741581,0.79978898904,0.306689330486,-0.686017778391,-0.748862831725,-0.307266566567,-0.843038653971,1.044478743802,-1.358116562274,-0.510396526278,O23,1/2,+,1,-113.155822,O23,1/2,+,1,-113.155822,7.57823524,0.6767924410634164,-0.0627140948280796,2.963291999826432
814582,4,-0.332928646275,-0.332627980975,-0.329177654704,-0.238023515302,2.384740278365,0.719810091697,0.015002126505,-1.055981194806,0.843525793977,0.234163442377,-0.844537302092,-0.749231713911,-0.419361621105,-0.768246821988,1.017782929783,-1.34770656249,-0.18923507212,O23,1/2,+,1,-80.0700268,O23,1/2,+,1,-80.0700268,7.53882582,0.3755541215518771,-0.0693822680876114,2.904097719338016
814582,6,-0.332928646275,-0.332627980975,-0.329177654704,-0.238023515302,2.384740278365,0.719810091697,0.015002126505,-1.055981194806,0.843525793977,0.234163442377,-0.844537302092,-0.749231713911,-0.419361621105,-0.768246821988,1.017782929783,-1.34770656249,-0.18923507212,O23,1/2,+,1,-115.3466075,O23,1/2,+,1,-115.3466075,7.08329776,0.3657539662259774,-0.0585058975570866,2.824771091375174
814582,8,-0.332928646275,-0.332627980975,-0.329177654704,-0.238023515302,2.384740278365,0.719810091697,0.015002126505,-1.055981194806,0.843525793977,0.234163442377,-0.844537302092,-0.749231713911,-0.419361621105,-0.768246821988,1.017782929783,-1.34770656249,-0.18923507212,O23,1/2,+,1,-136.717771,O23,1/2,+,1,-136.717771,6.79782227,0.403718916571722,-0.0619616727766252,2.7799937776540253
815188,4,-0.320446233845,-0.316864050686,-0.318851160876,-0.237114019618,2.199052013388,0.923971205532,0.206175710312,-0.915226761202,0.744363506958,0.394494128596,-0.704738854848,-0.725284914522,-0.148384119456,-1.060693749953,1.142585945567,-0.815750512455,-0.159242329688,O23,1/2,+,1,-89.1022621,O23,1/2,+,1,-89.1022621,7.62814277,0.4590515145348027,-0.0653040932572409,2.9343953519043002
815188,6,-0.320446233845,-0.316864050686,-0.318851160876,-0.237114019618,2.199052013388,0.923971205532,0.206175710312,-0.915226761202,0.744363506958,0.394494128596,-0.704738854848,-0.725284914522,-0.148384119456,-1.060693749953,1.142585945567,-0.815750512455,-0.159242329688,O23,1/2,+,1,-119.5335992,O23,1/2,+,1,-119.5335992,7.23471525,0.4504344991730168,-0.0533403221815338,2.867158055809181
815188,8,-0.320446233845,-0.316864050686,-0.318851160876,-0.237114019618,2.199052013388,0.923971205532,0.206175710312,-0.915226761202,0.744363506958,0.394494128596,-0.704738854848,-0.725284914522,-0.148384119456,-1.060693749953,1.142585945567,-0.815750512455,-0.159242329688,O23,1/2,+,1,-136.35248,O23,1/2,+,1,-136.35248,7.00392936,0.4703289371193588,-0.0575865612999936,2.8293917413146175
819984,4,-0.343015297255,-0.334186815488,-0.336483389872,-0.262827764047,2.390793188007,1.294931975726,0.015074931993,-0.895733991753,0.960936832272,0.592526223086,-0.871057723869,-0.774235640389,-0.477256191955,-0.688083329241,0.937693848908,-1.70088047145,-0.547956147971,O23,1/2,+,1,-93.5355092,O23,1/2,+,1,-93.5355092,7.60385695,0.4090781471969237,-0.0682771431077652,2.9212058886852117
819984,6,-0.343015297255,-0.334186815488,-0.336483389872,-0.262827764047,2.390793188007,1.294931975726,0.015074931993,-0.895733991753,0.960936832272,0.592526223086,-0.871057723869,-0.774235640389,-0.477256191955,-0.688083329241,0.937693848908,-1.70088047145,-0.547956147971,O23,1/2,+,1,-118.4184062,O23,1/2,+,1,-118.4184062,7.25223678,0.3903092499920209,-0.0503665083108524,2.8602386983748693
824849,4,-0.343768465339,-0.338505854356,-0.338313244872,-0.228117464009,2.507594225408,0.431354813332,-0.05583532995,-0.973160015253,0.732776257832,0.212766810538,-0.800668269357,-0.723284557245,-0.49238091101,-0.620948588652,0.915720232687,-3.925020852207,-0.771982842168,O23,1/2,+,1,-58.8664781,O23,1/2,+,1,-58.8664781,7.846335,0.5257507680987165,-0.0560020256523824,2.984102818678729
824849,6,-0.343768465339,-0.338505854356,-0.338313244872,-0.228117464009,2.507594225408,0.431354813332,-0.05583532995,-0.973160015253,0.732776257832,0.212766810538,-0.800668269357,-0.723284557245,-0.49238091101,-0.620948588652,0.915720232687,-3.925020852207,-0.771982842168,O23,1/2,+,1,-90.7496145,O23,1/2,+,1,-90.7496145,7.38456916,0.5262407447274484,-0.050378061850294,2.90675381359983
824849,8,-0.343768465339,-0.338505854356,-0.338313244872,-0.228117464009,2.507594225408,0.431354813332,-0.05583532995,-0.973160015253,0.732776257832,0.212766810538,-0.800668269357,-0.723284557245,-0.49238091101,-0.620948588652,0.915720232687,-3.925020852207,-0.771982842168,O23,1/2,+,1,-110.1037848,O23,1/2,+,1,-110.1037848,7.10695362,0.5725863045014951,-0.058539646347291,2.865272442221543
